d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-27,07:00:00,A00B,14,29.1,,
2017-07-27,07:30:00,A00E,68,20.63,,
2017-07-27,07:30:00,A00D,50,22.9,,
2017-07-27,07:30:00,A015,23,28.33,,
2017-07-27,07:30:00,A00A,59,22,,
2017-07-27,07:30:00,A00H,32,26.97,,
2017-07-27,07:30:00,A00C,77,19.81,,
2017-07-27,07:30:00,A016,5,29.25,,
2017-07-27,07:30:00,A00B,14,29.15,,
2017-07-27,08:00:00,A00E,68,20.44,,
2017-07-27,08:00:00,A00D,50,22.87,,
2017-07-27,08:00:00,A015,23,28.54,,
2017-07-27,08:00:00,A00A,59,21.93,,
2017-07-27,08:00:00,A00H,32,26.94,,
2017-07-27,08:00:00,A016,5,29.3,,
2017-07-27,08:00:00,A00B,14,29.17,,
2017-07-27,08:30:00,A00E,68,20.4,,
2017-07-27,08:30:00,A00D,50,22.97,,
2017-07-27,08:30:00,A015,23,28.53,,
2017-07-27,08:30:00,A00A,59,22.14,,
2017-07-27,08:30:00,A00H,32,26.85,,
2017-07-27,08:30:00,A00C,77,19.74,,
2017-07-27,08:30:00,A016,5,29.3,,
2017-07-27,08:30:00,A00B,14,29.21,,
2017-07-27,09:00:00,A00E,68,20.57,,
2017-07-27,09:00:00,A00D,50,23.26,,
2017-07-27,09:00:00,A015,23,28.61,,
2017-07-27,09:00:00,A00A,59,22.19,,
2017-07-27,09:00:00,A00H,32,26.94,,
2017-07-27,09:00:00,A00C,77,19.63,,
2017-07-27,09:00:00,A016,5,29.25,,
2017-07-27,09:00:00,A00B,14,29.17,,
2017-07-27,09:30:00,A00E,68,20.67,,
2017-07-27,09:30:00,A00D,50,23.32,,
2017-07-27,09:30:00,A015,23,28.66,,
2017-07-27,09:30:00,A00A,59,22.29,,
2017-07-27,09:30:00,A016,5,29.25,,
2017-07-27,09:30:00,A00C,77,19.53,,
2017-07-27,09:30:00,A00H,32,26.96,,
2017-07-27,09:30:00,A00B,14,29.19,,
2017-07-27,10:00:00,A00E,68,20.67,,
2017-07-27,10:00:00,A00D,50,23.35,,
2017-07-27,10:00:00,A015,23,28.72,,
2017-07-27,10:00:00,A00A,59,22.23,,
2017-07-27,10:00:00,A016,5,29.23,,
2017-07-27,10:00:00,A00C,77,19.49,,
2017-07-27,10:00:00,A00H,32,26.96,,
2017-07-27,10:00:00,A00B,14,29.16,,
2017-07-27,10:30:00,A00E,68,20.61,,
2017-07-27,10:30:00,A00D,50,23.31,,
2017-07-27,10:30:00,A015,23,28.81,,
2017-07-27,10:30:00,A00A,59,22.19,,
2017-07-27,10:30:00,A016,5,29.22,,
2017-07-27,10:30:00,A00C,77,19.38,,
2017-07-27,10:30:00,A00H,32,26.97,,
2017-07-27,10:30:00,A00B,14,29.14,,
2017-07-27,11:00:00,A00E,68,20.31,,
2017-07-27,11:00:00,A00D,50,23.28,,
2017-07-27,11:00:00,A015,23,28.88,,
2017-07-27,11:00:00,A00A,59,22.2,,
2017-07-27,11:00:00,A00H,32,27.27,,
2017-07-27,11:00:00,A016,5,29.2,,
2017-07-27,11:00:00,A00B,14,29.16,,
2017-07-27,11:30:00,A00E,68,20.32,,
2017-07-27,11:30:00,A00D,50,23.3,,
2017-07-27,11:30:00,A015,23,28.83,,
2017-07-27,11:30:00,A00A,59,22.11,,
2017-07-27,11:30:00,A016,5,29.2,,
2017-07-27,11:30:00,A00H,32,27.02,,
2017-07-27,11:30:00,A00B,14,29.13,,
